,League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,golddiff,goldblue,bKills,bTowers,bInhibs,bDragons,bBarons,bHeralds,goldred,rKills,rTowers,rInhibs,rDragons,rBarons,rHeralds,blueTop,blueTopChamp,goldblueTop,blueJungle,blueJungleChamp,goldblueJungle,blueMiddle,blueMiddleChamp,goldblueMiddle,blueADC,blueADCChamp,goldblueADC,blueSupport,blueSupportChamp,goldblueSupport,blueBans,redTop,redTopChamp,goldredTop,redJungle,redJungleChamp,goldredJungle,redMiddle,redMiddleChamp,goldredMiddle,redADC,redADCChamp,goldredADC,redSupport,redSupportChamp,goldredSupport,redBans,Address
609,NALCS,2017,Spring,Season,TSM,0,1,C9,41,"[0, 0, 20, 209, -31, 37, -38, -132, -370, -461, -228, -367, -1135, -2064, -2425, -2328, -2043, -2349, -1726, -1885, -3439, -3532, -2604, -3648, -2777, -1105, -918, 426, -720, -1041, -1606, -1102, -1467, -1951, -2291, -2661, -4414, -7442, -8208, -9746, -12654]","[2500, 2500, 2754, 4375, 5710, 7232, 8572, 9995, 11422, 12791, 14557, 16033, 17452, 19241, 20717, 22321, 24154, 25633, 27813, 29263, 30830, 32443, 35760, 38009, 40688, 43463, 45358, 48268, 50713, 52620, 53849, 55690, 57012, 58535, 59878, 61687, 62663, 63849, 65553, 66901, 68888]","[[12.634, 'C9 Smoothie', 'TSM Biofrost', ['TSM Hauntzer', 'TSM Svenskeren'], 6092, 10440], [21.253, 'C9 Smoothie', 'TSM Biofrost', ['TSM Hauntzer', 'TSM Svenskeren'], 6690, 7492], [21.383, 'C9 Sneaky', 'TSM Biofrost', ['TSM Hauntzer', 'TSM Svenskeren', 'TSM WildTurtle'], 7695, 9811], [22.048, 'C9 Contractz', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM Bjergsen', 'TSM WildTurtle', 'TSM Biofrost'], 5000, 9348], [22.704, 'C9 Sneaky', 'TSM Svenskeren', ['TSM Biofrost'], 6338, 6168], [23.935, 'C9 Smoothie', 'TSM WildTurtle', ['TSM Svenskeren', 'TSM Bjergsen'], 9188, 9605], [24.5, 'C9 Contractz', 'TSM WildTurtle', ['TSM Hauntzer', 'TSM Svenskeren', 'TSM Bjergsen', 'TSM Biofrost'], 9751, 9042], [24.587, 'C9 Impact', 'TSM WildTurtle', ['TSM Hauntzer', 'TSM Svenskeren', 'TSM Bjergsen', 'TSM Biofrost'], 9654, 9827], [27.759, 'C9 Contractz', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM Bjergsen', 'TSM WildTurtle', 'TSM Biofrost'], 738, 8012], [27.976, 'C9 Impact', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM Bjergsen', 'TSM Biofrost'], 2342, 9133], [34.053, 'C9 Contractz', 'TSM Bjergsen', ['TSM Svenskeren', 'TSM WildTurtle', 'TSM Biofrost'], 3788, 10500], [39.693, 'C9 Smoothie', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM WildTurtle', 'TSM Biofrost'], 3422, 3262]]","[[23.907, 'MID_LANE', 'OUTER_TURRET'], [24.667, 'MID_LANE', 'INNER_TURRET'], [26.518, 'BOT_LANE', 'OUTER_TURRET'], [26.872, 'BOT_LANE', 'INNER_TURRET'], [17.135, 'TOP_LANE', 'OUTER_TURRET']]",[],"[[31.477, 'FIRE_DRAGON'], [18.906, 'AIR_DRAGON'], [25.085, 'AIR_DRAGON']]",[[21.947]],[],"[2500, 2500, 2734, 4166, 5741, 7195, 8610, 10127, 11792, 13252, 14785, 16400, 18587, 21305, 23142, 24649, 26197, 27982, 29539, 31148, 34269, 35975, 38364, 41657, 43465, 44568, 46276, 47842, 51433, 53661, 55455, 56792, 58479, 60486, 62169, 64348, 67077, 71291, 73761, 76647, 81542]","[[11.827, 'TSM WildTurtle', 'C9 Contractz', ['C9 Smoothie'], 7870, 1165], [12.56, 'TSM Bjergsen', 'C9 Smoothie', ['C9 Impact', 'C9 Jensen'], 6192, 10833], [19.532, 'TSM Hauntzer', 'C9 Impact', ['C9 Jensen'], 11627, 2915], [19.609, 'TSM Bjergsen', 'C9 Contractz', [], 7059, 8994], [21.88, 'TSM Biofrost', 'C9 Contractz', ['C9 Impact', 'C9 Jensen'], 3948, 10360], [21.985, 'TSM WildTurtle', 'C9 Jensen', ['C9 Impact', 'C9 Contractz'], 5276, 10453], [22.047, 'TSM Bjergsen', 'C9 Jensen', ['C9 Impact', 'C9 Contractz'], 5117, 9342], [22.208, 'TSM Hauntzer', 'C9 Jensen', ['C9 Impact'], 4112, 9419], [22.739, 'TSM Biofrost', 'C9 Smoothie', ['C9 Sneaky'], 5758, 5180], [27.543, 'TSM WildTurtle', 'C9 Contractz', ['C9 Impact', 'C9 Smoothie'], 1645, 7112], [27.678, 'TSM Biofrost', 'C9 Contractz', ['C9 Impact', 'C9 Sneaky', 'C9 Smoothie'], 1205, 6300], [34.228, 'TSM Biofrost', 'C9 Smoothie', ['C9 Contractz'], 2838, 11223], [35.751, 'TSM WildTurtle', 'C9 Smoothie', ['C9 Jensen'], 6320, 9148], [35.753, 'TSM Biofrost', 'C9 Smoothie', ['C9 Impact', 'C9 Sneaky'], 6621, 9463], [35.961, 'TSM Hauntzer', 'C9 Contractz', ['C9 Impact', 'C9 Jensen', 'C9 Sneaky', 'C9 Smoothie'], 7619, 9681], [36.445, 'TSM Svenskeren', 'C9 Jensen', ['C9 Smoothie'], 6073, 12573], [39.625, 'TSM Bjergsen', 'C9 Contractz', ['C9 Impact', 'C9 Jensen', 'C9 Sneaky', 'C9 Smoothie'], 4204, 3100], [39.718, 'TSM Biofrost', 'C9 Jensen', ['C9 Impact', 'C9 Contractz', 'C9 Sneaky', 'C9 Smoothie'], 1753, 3728], [39.723, 'TSM Hauntzer', 'C9 Sneaky', ['C9 Impact', 'C9 Contractz', 'C9 Jensen', 'C9 Smoothie'], 3640, 3547], [40.076, 'TSM Svenskeren', 'C9 Sneaky', ['C9 Impact', 'C9 Contractz', 'C9 Jensen'], 2512, 1744]]","[[34.173, 'BOT_LANE', 'BASE_TURRET'], [40.237, 'MID_LANE', 'NEXUS_TURRET'], [19.923, 'MID_LANE', 'OUTER_TURRET'], [40.131, 'MID_LANE', 'NEXUS_TURRET'], [39.777, 'MID_LANE', 'BASE_TURRET'], [22.653, 'TOP_LANE', 'OUTER_TURRET'], [27.223, 'TOP_LANE', 'INNER_TURRET'], [39.306, 'MID_LANE', 'INNER_TURRET'], [37.86, 'TOP_LANE', 'BASE_TURRET'], [28.362, 'BOT_LANE', 'INNER_TURRET'], [12.077, 'BOT_LANE', 'OUTER_TURRET']]","[[39.531, 'BOT_LANE']]","[[38.477, 'ELDER_DRAGON'], [12.416, 'AIR_DRAGON']]",[[36.328]],[],Hauntzer,Maokai,"[500, 500, 502, 834, 1151, 1423, 1754, 2172, 2470, 2781, 3184, 3395, 3791, 4138, 4497, 4855, 5334, 5660, 6060, 6503, 6786, 7030, 7605, 8086, 8520, 8915, 9390, 9953, 10785, 11408, 11529, 12246, 12368, 12726, 13147, 13540, 13662, 13785, 14105, 14358, 14953]",Svenskeren,RekSai,"[500, 500, 602, 1009, 1362, 1595, 1904, 2188, 2421, 2628, 3018, 3479, 3611, 3916, 4252, 4638, 4993, 5139, 5544, 5717, 5993, 6328, 6968, 7710, 8199, 8636, 9010, 9421, 9822, 10156, 10347, 10583, 10844, 11115, 11293, 11676, 11874, 12033, 12369, 12670, 12993]",Bjergsen,Syndra,"[500, 500, 562, 947, 1070, 1569, 1845, 2182, 2445, 2930, 3281, 3640, 4039, 4279, 4618, 4917, 5357, 5765, 6208, 6552, 6820, 7042, 7502, 7721, 8218, 8734, 9247, 9802, 10277, 10801, 11289, 11512, 11872, 12077, 12377, 12819, 13030, 13625, 13889, 14033, 14412]",WildTurtle,Kalista,"[500, 500, 562, 878, 1235, 1597, 1870, 2118, 2543, 2743, 3146, 3375, 3668, 4034, 4236, 4632, 5017, 5346, 5829, 6139, 6609, 7193, 7694, 8056, 8932, 9932, 10242, 11149, 11516, 11739, 11914, 12317, 12723, 13223, 13417, 13738, 13992, 14115, 14722, 15114, 15435]",Biofrost,Zyra,"[500, 500, 526, 707, 892, 1048, 1199, 1335, 1543, 1709, 1928, 2144, 2343, 2874, 3114, 3279, 3453, 3723, 4172, 4352, 4622, 4850, 5991, 6436, 6819, 7246, 7469, 7943, 8313, 8516, 8770, 9032, 9205, 9394, 9644, 9914, 10105, 10291, 10468, 10726, 11095]","['Rengar', 'Olaf', 'Janna', 'Nautilus', 'Poppy']",Impact,Shen,"[500, 500, 502, 797, 1168, 1500, 1848, 2168, 2522, 2853, 3111, 3546, 3819, 4284, 4740, 5125, 5517, 5778, 6045, 6546, 7174, 7652, 8126, 8719, 9074, 9317, 9651, 10107, 10826, 11074, 11336, 11482, 12120, 12706, 13071, 13381, 13640, 14330, 14820, 15370, 16199]",Contractz,Khazix,"[500, 500, 622, 935, 1244, 1525, 1846, 2141, 2432, 2656, 2963, 3122, 3757, 4396, 4787, 4997, 5376, 5717, 6062, 6410, 7139, 7491, 8110, 8415, 8880, 9016, 9303, 9551, 10555, 10938, 11197, 11406, 11577, 11859, 12183, 12639, 13256, 13744, 14118, 14630, 15670]",Jensen,Fizz,"[500, 500, 562, 868, 1236, 1535, 1827, 2222, 2652, 2910, 3469, 3811, 4221, 4549, 4994, 5288, 5594, 6058, 6423, 6623, 7249, 7592, 8325, 9520, 10048, 10387, 10910, 11192, 11877, 12475, 12864, 13262, 13571, 13997, 14287, 14632, 14982, 16323, 17099, 17806, 18885]",Sneaky,Ashe,"[500, 500, 502, 833, 1136, 1501, 1812, 2138, 2515, 2936, 3197, 3681, 4086, 4713, 5052, 5445, 5702, 6175, 6560, 6901, 7522, 7885, 8138, 8526, 8691, 8907, 9292, 9582, 10199, 10868, 11468, 11876, 12180, 12564, 13004, 13416, 14025, 15049, 15507, 16150, 17266]",Smoothie,MissFortune,"[500, 500, 546, 733, 957, 1134, 1277, 1458, 1671, 1897, 2045, 2240, 2704, 3363, 3569, 3794, 4008, 4254, 4449, 4668, 5185, 5355, 5665, 6477, 6772, 6941, 7120, 7410, 7976, 8306, 8590, 8766, 9031, 9360, 9624, 10280, 11174, 11845, 12217, 12691, 13522]","['Leblanc', 'Camille', 'LeeSin', 'Varus', 'Jhin']",http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050056?gameHash=a70a111867a1816d
610,NALCS,2017,Spring,Season,C9,1,0,TSM,37,"[0, 0, -85, -187, -138, -15, -47, 620, 794, 624, 759, 807, 1669, 2164, 2373, 4074, 3397, 3553, 3776, 4915, 4124, 4467, 5893, 5588, 5396, 4732, 5026, 4789, 4705, 4439, 5001, 5591, 6236, 6010, 3938, 3973, 6184]","[2500, 2500, 2651, 4090, 5708, 7121, 8678, 10687, 12327, 13802, 15438, 17159, 19217, 21026, 23147, 26341, 28363, 30184, 32909, 35152, 36948, 38857, 41567, 43547, 44939, 46307, 48312, 49701, 51123, 53448, 55937, 57682, 59624, 61078, 63326, 64881, 68306]","[[6.818, 'TSM Bjergsen', 'C9 Contractz', ['C9 Jensen'], 8617, 8037], [9.148, 'TSM Hauntzer', 'C9 Contractz', ['C9 Impact'], 4151, 14021], [11.476, 'TSM Biofrost', 'C9 Contractz', ['C9 Sneaky', 'C9 Smoothie'], 12562, 5204], [11.839, 'TSM Svenskeren', 'C9 Contractz', ['C9 Jensen', 'C9 Sneaky', 'C9 Smoothie'], 11355, 4090], [13.376, 'TSM WildTurtle', 'C9 Impact', [], 12173, 1285], [13.648, 'TSM Svenskeren', 'C9 Contractz', ['C9 Jensen'], 7796, 798], [14.339, 'TSM Hauntzer', 'C9 Sneaky', ['C9 Smoothie'], 768, 10053], [17.413, 'TSM WildTurtle', 'C9 Sneaky', ['C9 Smoothie'], 13770, 4024], [17.912, 'TSM Bjergsen', 'C9 Jensen', ['C9 Contractz'], 9844, 7055], [18.1, 'TSM Biofrost', 'C9 Contractz', [], 8340, 6687], [20.673, 'TSM Bjergsen', 'C9 Contractz', ['C9 Sneaky'], 5671, 13662], [21.093, 'TSM WildTurtle', 'C9 Sneaky', ['C9 Jensen', 'C9 Smoothie'], 8641, 10663], [22.653, 'TSM Bjergsen', 'C9 Impact', ['C9 Jensen'], 11467, 1663], [28.542, 'TSM Svenskeren', 'C9 Sneaky', ['C9 Impact', 'C9 Contractz', 'C9 Jensen', 'C9 Smoothie'], 5040, 10632], [28.851, 'TSM Bjergsen', 'C9 Jensen', ['C9 Impact', 'C9 Contractz', 'C9 Sneaky', 'C9 Smoothie'], 7338, 8695], [28.895, 'TSM Biofrost', 'C9 Contractz', ['C9 Impact', 'C9 Sneaky', 'C9 Smoothie'], 8285, 8755], [30.769, 'TSM Hauntzer', 'C9 Jensen', ['C9 Contractz', 'C9 Smoothie'], 13871, 5464], [33.406, 'TSM Svenskeren', 'C9 Sneaky', ['C9 Impact', 'C9 Jensen', 'C9 Smoothie'], 6492, 14002], [33.566, 'TSM Bjergsen', 'C9 Impact', ['C9 Contractz', 'C9 Jensen', 'C9 Sneaky', 'C9 Smoothie'], 7081, 13797], [35.824, 'TSM Biofrost', 'C9 Jensen', ['C9 Impact', 'C9 Contractz', 'C9 Sneaky', 'C9 Smoothie'], 6086, 8425], [35.876, 'TSM WildTurtle', 'C9 Jensen', ['C9 Impact', 'C9 Contractz', 'C9 Sneaky', 'C9 Smoothie'], 6178, 8601], [35.9, 'TSM Svenskeren', 'C9 Jensen', ['C9 Impact', 'C9 Contractz', 'C9 Sneaky', 'C9 Smoothie'], 6313, 8249], [35.947, 'TSM Bjergsen', 'C9 Sneaky', ['C9 Impact', 'C9 Contractz', 'C9 Smoothie'], 6446, 8336], [35.947, 'TSM Hauntzer', 'C9 Sneaky', ['C9 Impact', 'C9 Contractz', 'C9 Jensen', 'C9 Smoothie'], 6468, 8466]]","[[21.425, 'MID_LANE', 'INNER_TURRET'], [31.576, 'BOT_LANE', 'INNER_TURRET'], [15.905, 'MID_LANE', 'OUTER_TURRET'], [14.778, 'TOP_LANE', 'OUTER_TURRET'], [33.776, 'MID_LANE', 'NEXUS_TURRET'], [36.553, 'MID_LANE', 'NEXUS_TURRET'], [29.27, 'MID_LANE', 'BASE_TURRET'], [18.872, 'BOT_LANE', 'OUTER_TURRET']]","[[36.348, 'MID_LANE'], [29.356, 'MID_LANE']]","[[25.086, 'EARTH_DRAGON'], [18.828, 'AIR_DRAGON'], [31.234, 'EARTH_DRAGON'], [11.769, 'FIRE_DRAGON']]",[],[[17.209]],"[2500, 2500, 2736, 4277, 5846, 7136, 8725, 10067, 11533, 13178, 14679, 16352, 17548, 18862, 20774, 22267, 24966, 26631, 29133, 30237, 32824, 34390, 35674, 37959, 39543, 41575, 43286, 44912, 46418, 49009, 50936, 52091, 53388, 55068, 59388, 60908, 62122]","[[13.099, 'C9 Smoothie', 'TSM Svenskeren', ['TSM WildTurtle', 'TSM Biofrost'], 9801, 1224], [13.192, 'C9 Sneaky', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM WildTurtle', 'TSM Biofrost'], 9870, 1027], [15.828, 'C9 Contractz', 'TSM Bjergsen', ['TSM Svenskeren', 'TSM Biofrost'], 8000, 10098], [17.555, 'C9 Sneaky', 'TSM Hauntzer', ['TSM WildTurtle', 'TSM Biofrost'], 12211, 1832], [17.627, 'C9 Smoothie', 'TSM Bjergsen', ['TSM Hauntzer', 'TSM Svenskeren', 'TSM Biofrost'], 11094, 1207], [22.834, 'C9 Impact', 'TSM Hauntzer', ['TSM Bjergsen'], 11953, 1863], [33.343, 'C9 Contractz', 'TSM Hauntzer', ['TSM Svenskeren', 'TSM WildTurtle', 'TSM Biofrost'], 6544, 13510], [33.523, 'C9 Jensen', 'TSM WildTurtle', ['TSM Hauntzer', 'TSM Bjergsen'], 6125, 13293], [33.549, 'C9 Sneaky', 'TSM Biofrost', ['TSM Hauntzer', 'TSM Svenskeren', 'TSM Bjergsen', 'TSM WildTurtle'], 5213, 13305], [33.674, 'C9 Impact', 'TSM WildTurtle', ['TSM Hauntzer', 'TSM Bjergsen', 'TSM Biofrost'], 6064, 13493]]","[[19.222, 'TOP_LANE', 'OUTER_TURRET'], [24.044, 'BOT_LANE', 'OUTER_TURRET']]",[],[],[[28.447]],[],Impact,Nautilus,"[500, 500, 502, 740, 1124, 1499, 1711, 2095, 2365, 2731, 3037, 3360, 3676, 4113, 4840, 5190, 5716, 6275, 6705, 7046, 7291, 7676, 8258, 8892, 9041, 9419, 9770, 10169, 10568, 10851, 11137, 11342, 11653, 11883, 12503, 12717, 13123]",Contractz,LeeSin,"[500, 500, 602, 1009, 1363, 1537, 1854, 2468, 2851, 3074, 3602, 3937, 4690, 4990, 5553, 6000, 6302, 6510, 6968, 7544, 8000, 8521, 8819, 9120, 9345, 9517, 9815, 9958, 10194, 10746, 11246, 11474, 11840, 12184, 12429, 12836, 13200]",Jensen,Syndra,"[500, 500, 522, 865, 1243, 1575, 2025, 2537, 2935, 3304, 3634, 4080, 4349, 4782, 5294, 5801, 6333, 6717, 7468, 7928, 8375, 8693, 9271, 9731, 10115, 10536, 11055, 11393, 11516, 12118, 12624, 13290, 13630, 14122, 14594, 15009, 16221]",Sneaky,Varus,"[500, 500, 512, 781, 1099, 1474, 1871, 2208, 2642, 2966, 3254, 3685, 4123, 4521, 4672, 6062, 6369, 6756, 7379, 7975, 8375, 8832, 9590, 10003, 10402, 10623, 11257, 11540, 12005, 12576, 13410, 13727, 14311, 14499, 15054, 15388, 16377]",Smoothie,Taric,"[500, 500, 513, 695, 879, 1036, 1217, 1379, 1534, 1727, 1911, 2097, 2379, 2620, 2788, 3288, 3643, 3926, 4389, 4659, 4907, 5135, 5629, 5801, 6036, 6212, 6415, 6641, 6840, 7157, 7520, 7849, 8190, 8390, 8746, 8931, 9385]","['Zyra', 'Maokai', 'Ryze', 'Fiora', 'Jayce']",Hauntzer,Trundle,"[500, 500, 502, 851, 1164, 1328, 1832, 2179, 2506, 2848, 3012, 3418, 3811, 4055, 4609, 4809, 5655, 5999, 6807, 6958, 7515, 7877, 8235, 8935, 9407, 10051, 10648, 11225, 11523, 12123, 12561, 12791, 12912, 13381, 14310, 14610, 14796]",Svenskeren,RekSai,"[500, 500, 602, 995, 1387, 1597, 1910, 2034, 2431, 2810, 3223, 3561, 3684, 3863, 4353, 4600, 5071, 5486, 5801, 5934, 6502, 6808, 6972, 7331, 7651, 7899, 8193, 8501, 8728, 9206, 9517, 9787, 9978, 10276, 10729, 10965, 11124]",Bjergsen,Katarina,"[500, 500, 542, 848, 1160, 1553, 1786, 2213, 2521, 2899, 3250, 3649, 4009, 4288, 4603, 5006, 5692, 6019, 6664, 6862, 7326, 7663, 8071, 8372, 8617, 9011, 9344, 9739, 10016, 10519, 10742, 11001, 11122, 11602, 12158, 12329, 12453]",WildTurtle,Ashe,"[500, 500, 542, 837, 1190, 1522, 1872, 2125, 2346, 2744, 3164, 3557, 3740, 4123, 4371, 4742, 5035, 5412, 5739, 6195, 6712, 7073, 7197, 7841, 8209, 8653, 8967, 9139, 9651, 10096, 10813, 10936, 11431, 11680, 13074, 13631, 14085]",Biofrost,Malzahar,"[500, 500, 548, 746, 945, 1136, 1325, 1516, 1729, 1877, 2030, 2167, 2304, 2533, 2838, 3110, 3513, 3715, 4122, 4288, 4769, 4969, 5199, 5480, 5659, 5961, 6134, 6308, 6500, 7065, 7303, 7576, 7945, 8129, 9117, 9373, 9664]","['Leblanc', 'Camille', 'Rengar', 'Karma', 'Lulu']",http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050068?gameHash=5210793878197802
